ref_hash,preds
5904733559638204455_sc,1712903.4
3399210824535017892_sc,98906.48
8718010088692024883_sc,1730378.6
4676578089958170485_sc,142444.95
473869482255284569_sc,1732639.6
7833591646135144816_sc,1721696.0
2875667845071889597_sc,69295.03
6381065784587187559_sc,50782.88
1692489370831174287_sc,170618.44
2623003444868539472_sc,57407.26
1788089447490310660_sc,1690656.9
8127196261055709518_sc,20386.643
3882967286661802109_sc,98646.586
938663565564859092_sc,12846.671
4503043746469417913_sc,56689.965
9036239215761712578_sc,1730243.9
6410259477250737517_sc,64441.645
2604095744086811462_sc,64658.387
68216579644540072_sc,99805.664
8515570848219024827_sc,81489.21
3448704557018076927_sc,7244.314
4477105362321528464_sc,25358.875
8717601644291932628_sc,147921.72
6286861399832471054_sc,76741.02
7399488426333806591_sc,161911.12
412274304887014436_sc,158946.36
8191997614351119816_sc,12677.448
5795237326078611903_sc,1703383.1
6619099623456656209_sc,1722967.6
8118657319832813773_sc,62738.72
7376364067876362792_sc,97752.82
1334764289728448994_sc,10694.929
5592906993946133715_sc,99133.01
9061219763885362903_sc,97087.96
497770456698754354_sc,33427.516
6175880556571138025_sc,170754.48
188490495698611188_sc,90750.06
5004555992453411701_sc,1728333.5
8804805995399757383_sc,69349.81
7066556181327056801_sc,2221.867
4098062469142864434_sc,91280.1
3668618370784447384_sc,1704805.9
2690469313447278936_sc,90853.46
7886181423768929712_sc,1717871.6
5416476873631149885_sc,97465.664
8789273677012080547_sc,99091.336
64700643654954938_sc,1730622.0
6614931785730039436_sc,149725.67
8278028954413745386_sc,1729685.5
1845156892325523407_sc,147921.72
7312152986934793034_sc,1712343.6
2939409622498827068_sc,144583.5
9046006663570640921_sc,100369.54
1829622375818228708_sc,1670887.0
8193210555311461277_sc,1719565.6
2180182690023996575_sc,1713608.4
1759826284190377419_sc,12758.8545
1356531917032748710_sc,129022.586
881302852449860040_sc,143778.83
7403571220519997964_sc,59624.703
6079573757478139061_sc,12992.703
4409922915718627364_sc,95932.52
6696648114649911506_sc,67588.79
2024240806743840227_sc,20525.572
7810375570846319542_sc,1721078.1
4163353268330028940_sc,68070.586
1988032041345040533_sc,1731944.4
4126356094417191013_sc,74071.24
6182518126763215503_sc,68853.62
1251519266233357015_sc,89455.664
4666432014861953039_sc,1693902.5
4649021730721778800_sc,1721973.1
2397663605072644146_sc,1721298.1
4555401857361978845_sc,47498.562
5894856328487209314_sc,92903.1
6793260940251108268_sc,1729833.4
8707391959374764066_sc,1729648.4
951748561082684422_sc,147921.72
